DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Women's Accessories,Fashion Accessories,Belts,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,"Hats, Caps & Headwraps",,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Cufflinks,Cufflinks Women,Cufflinks For Women Shirts,Enamel Cufflinks,Black Cufflinks,Musical Man Cufflinks,Stainless Steel Cuff Links,Cufflinks Classic Black,Cufflinks For Men,Cufflinks Men,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Gloves & Sleeves,Gloves Sleeves For Women,Full Sleeves Gloves Women,Half Sleeves Gloves,Half Sleeves Gloves For Kids,Top With Gloves Sleeves,Half Sleeves Gloves For Boys,Half Sleeves Gloves For Men,Cufflinks For Men,Cufflinks Men,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Headbands,Headbands For Women,Headbands For Men,Headbands For Girls,Headbands For Winter Men,Mens Warm Winter Headbands,Premium Head Band,Head Band Gym,Head Band Runnig,Head Band Badminton,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Wristbands,Wristbands For Mens,Wristbands For Mens Gym,Wristbands For Womens,Wristbands For Boys,Wrist Band For Men Gym,Wrist Band For Gym,Wrist Support Sports Straps For Gym,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Watches,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Watch Bands,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Watch Organizers,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Mufflers,Mufflers For Women,Mufflers For Girls,Mufflers For Kids,Mufflers For Men Winter,Mufflers For Girls Wool,Mufflers For Women Wool,Mufflers For Winter,Mufflers For Boys,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Pocket Squares,Pocket Squares For Men,Set With Pocket Square,Men'S Pocket Square,Satin Pocket Squares,Satin Premium Pocket Square,Black Pocket Squares For Men,Pocket Square For Women,Pocket Square For Girls,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Rakhi,Rakhi For Brother,Rakhi For Brother And Bhabhi,Rakhi For Bhabhi,Bhaiya Bhabhi Rakhi,Rakhi Gift,Rakhi Gift For Sister,Rakhi Gift For Little Sister,Gift For Rakhi For Sister,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Umbrellas,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Stoles & Scarves,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Suspenders,Suspenders For Men,Suspenders For Boys,Suspenders For Women,Suspenders For Girls,Skirt With Suspenders For Girls,Strap Width Elastic Suspenders,Style Suspenders,Suspenders For Kids,Suspenders For Baby Girl,Suspenders For Baby Boy,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Neckties & Pocket Squares,Neckties Pocket Squares For Girls,Neckties For Men Formal,Tie For Men Neckties,Ties Neckties,Men'S Necktie,Pocket Square And Cufflink,Self Silk Necktie,Pocket Square Men,Necktie Gift Set With Pocket Square,Cufflinks And Lapel Pin,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Wallets & Clutches,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Helmets,Helmets For Women,Helmets For Women Full Face,Helmets Half Face,Helmets For Men,Helmets For Women,Helmet For Adults Men,Helmet For Adults Women,Open Face Helmet,Open Face Helmet For Men,Open Face Helmet For Women,Stylish Helmet For Girls,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Masks,Masks For Men,Masks For Women,Masks For Girls,Masks For Boys,Masks For Adults,Masks For Face,Masks For Skin,Disposable Surgical Face Mask,Face Mask With Nose Clip,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Handkerchiefs,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Socks & Stockings,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Laces,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Soles & Charms,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Shoe Racks & Organisers,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Shoe Care - Brush,Shoe Care Brush,Shoe Shine Brush,Shoe Brush For Cleaning,Shining And Buffing Boots,Soft Bristle Brush,Shoe Cleaning Solution,Sneakers Brush,Sneakers Cleaning Brush,Soft Brush For Sneakers,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Shoe Care - Polish,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Shoe Care - Others,Shoe Care Kit,Shoe Care Box,Shoe Care Bag,Sneaker Cleaner,Soft Bristles Brush,Shoehorn Stick,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,"Kurtas, Kurta Sets & Suits",,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,"Kurtis, Tunics & Tops",,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Sarees,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Ethnic Wear,Ethnic Wear For Women,Ethnic Wear For Girls,Ethnic Wear For Kids Girls,Ethnic Wear For Women Party Wear,Salwar Suit,Flared Kurta For Women,Embroidery Ethnic Wear Kurta For Women,Ethnic Wear Saree,Ethnic Wear Suit,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,"Leggings, Salwars & Churidars",,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Skirts & Palazzos,Skirt Palazzo For Women,Skirt Palazzo For Women Stylish,Skirt Palazzo For Women Maxi,Skirt Palazzo For Girls,Flared Skirt Palazzo For Girls,Skirt For Girls,Skirt For Girls Knee Length,Palazzo For Women,Palazzo For Girls,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Dress Materials,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Lehenga Cholis,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Dupattas & Shawls,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Jackets,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Burqas & Hijabs,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Blouses,Blouses Readymade,Blouses Silk,Sleeveless Saree Blouse,Unstitched Blouse,Embroidered Sleeves Blouse,Stretchable Elbow Sleeve Blouse,Embroidery Half Sleeve Saree Blouse,Half Sleeve Stitched Blouse,Mirror Sleeveless Readymade Blouse,Chikankari Saree Blouse,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Blouse Pieces,Blouse Pieces 1 Meter,Blouse Pieces New,Blouse Pieces For Women,Blouse Pieces For Women Silk,Blouse Pieces For Women Unstitched,Silk-Cotton Blouse Piece,Unstiched Blouse Piece,Art Silk Sleeve Unstitched Blouse Piece,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Dresses,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Tops,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Tshirts,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Jeans,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Trousers & Capris,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Shorts & Skirts,Shorts For Women,Shorts For Girls,Regular Fit Shorts,Girls Regular Shorts,Skirts For Women,Skirts For Girls,Skirts Knee Length,Skirts A-Line,Flared Skater Skirt,Women Mini Skirt,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Coordinates,Coordinate Women,Workout Tank Top Coordinates,Coordinate And Pyjama Set,Workout Tank Top Coordinates,Printed Coordinate,Top Pajama For Women Coordinate,Silk Printed Coordinate,Top & Capri Palazzo Coordinate Set,Top Trackpant Coordinate Set,Top With Pant Coordinate,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Playsuits,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Jumpsuits,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Dungarees,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Shrugs & Blouses,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Sweaters & Sweatshirts,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Jackets & Coats,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Blazers & Waistcoats,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,"Tights, Leggings & Jeggings",,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Shirts,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Track Shirts,Track Shirts For Women,Track Shirts For Girls,Track Shirts For Men,Track Shirts For Boys,Track Shirts For Men Sports,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Track Pants,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Track Suits,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Bra,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Briefs,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Shapewear,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Sleepwear & Loungewear,Sleepwear For Women,Sleepwear For Women Pyjama,Sleepwear For Women Cotton,Sleepwear Tops For Women,Sleepwear For Girls,Sleepwear Shorts For Women,Loungewear For Women,Loungewear Dress For Women,Loungewear Girls,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Swimwear,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Camisoles,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Lingerie Sets & Accessories,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Robes,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Bath Robes,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Thermal Bottoms,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Thermal Sets,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Thermal Tops,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Lounge Pants,Lounge Pants Women,Lounge Pants For Men,Lounge Pants For Kids,Lounge Pants For Girls,Lounge Pants Women Loose Fit,Men Lounge Pants,Winter Lounge Pants For Men,Women Lounge Pants For Daily Use,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Lounge Shorts,Lounge Shorts For Women,Lounge Shorts For Men,Lounge Shorts For Girls,Lounge Shorts For Boys,Regular Shorts,Yoga Shorts,Running Shorts,Gym Shorts For Girls,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Lounge T-Shirts,Lounge Wear T Shirts For Women,Full Sleeves Lounge T Shirts For Men,Night T Shirts For Women,Night T Shirts For Men,Night T Shirts For Girls,Loose Fit T Shirt,Night Sleep T Shirt,Women'S T Shirt,Half Sleeve T Shirt,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Night Suits,Night Suits For Women,Night Suits For Girls,Night Suits For Girls Winter,Night Suits For Girls Summer,Night Suits For Baby Girl,Printed Night Suit,Wool Blend Solid Night Suit,Woolen Winter Wear Suit,,,,,,,
Retail,Fashion,Women's Apparel,Lingerie & Sleepwear,Pyjamas,Pyjamas For Women,Pyjamas For Men,Pyjamas For Girls,Pyjamas For Boys,Regular Pyjamas For Men,Pyjamas For Women,Pyjamas For Men Cotton Loose Fit,,,,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,Backpacks,,,,,,,,,,,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,Utility Bags,,,,,,,,,,,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,Duffle Bags,Travel Duffle,Duffle Bag,Duffle Bag For Travel,Wheel Duffle Bag For Travel,Duffle Trolly Bag,Travel Bag With Trolley,Duffle Bags For Women,Duffle Bags For Men,Duffle Bags Medium,Duffle Bags 2 Wheels,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,Gym Bags,Gym Bags For Men,Gym Bags For Women,Gym Bags For Men Big Size,Duffle Bag For Gym,Sports Gym Duffel Bag,Duffle Backpack For Men,Trinity Gym Duffel,,,,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,Handbags,,,,,,,,,,,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,Laptop Bags,,,,,,,,,,,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,Sleeves & Cases,,,,,,,,,,,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,"Trolley, Luggage & Suitcases",,,,,,,,,,,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,Messenger Bags,,,,,,,,,,,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,Office Bags,Office Bags For Women,Office Bags For Men,Office Bags For Men Backpack,Offical Bags For Men,Offical Bags For Women,Offical Bags For Girls,Offical Bags For Boys,,,,,,,,
Retail,Fashion,Women's Bags & Luggage,Bags & Luggage,Outdoor,Outdoor Bags For Men,Bags For Women,Bags For Women Travel,Bag For Men,Bag For Men Backpack,Bags For Travelling,Bags For Travelling For Luggage,Bags For Boys,Bags For Mens Travel,,,,,,
Retail,Fashion,Women's Eyewear,Eyewear,Contact Lenses,Contact Lenses For Girls,Contact Lenses For Women,Contact Lenses For Men,Color Contact Lenses Zero Power,Contact Lenses Blue,Daily Disposable Contact Lenses,Pack Of 6 Lenses,Color Contact Lenses,4 Pairs Of Monthly Color Contact Lenses,Reusable Contact Lenses,,,,,
Retail,Fashion,Women's Eyewear,Eyewear,Eye Glasses,Eye Glasses For Girls,Eye Glasses For Women,Eye Glasses For Men,Cut Computer Glasses,Cut Computer Glasses For Eye Protection,Blocking Glasses Gaming Filter,Eye Glasses For Computer,Eye Glasses For Tablet,Eye Glasses For Laptop,Eye Glasses For Mobile,Eye Glasses For TV,,,,
Retail,Fashion,Women's Eyewear,Eyewear,Eye Glass Frames,Eye Glass Frames For Girls,Eye Glass Frames For Women,Eye Glass Frames,Eye Glass Frames For Men,Eye Glass Frames Titanium,Spectacles Frame Anti-Glare Uv,Round Eyeglass Frame,Tony Stark Frame For Eye,,,,,,,
Retail,Fashion,Women's Eyewear,Eyewear,Sunglasses,Sunglasses For Girls,Sunglasses For Women,Sunglasses For Men,Sunglasses For Kids,Sunglasses For Kids Boy,Sunglasses For Men Aviator,Driving Vintage Sunglasses,Polarized Sunglasses,Unisex Sunglass,Men'S Pilot Sunglasses,Rectanglular Sunglasses,,,,
Retail,Fashion,Women's Eyewear,Eyewear,Contact Lens Cases,Lens Cases For Contact Lenses,Contact Lenses Case,Travel Contact Lens Case Box With Mirror,Mini Simple Contact Lens,Mini Simple Contact Lens Travel Case Box,Contact Lens Holder,Multicolour Contact Lens Containers,Leak Proof Contact Lens Case,"Leakproof, Potable Lens Box",Lens Box For Travel,,,,,
Retail,Fashion,Women's Eyewear,Eyewear,Contact Lens Solutions,Contact Lens Solutions Small,Contact Lens Solutions Travel Kit,Comfort Contact Lens Solution 120Ml,Aquasoft Multipurpose Solution,Gp Fresh Hydra One Step Multi-Action Solution,Colorblends Contact Lens With Lens Case And Solution,,,,,,,,,
Retail,Fashion,Women's Eyewear,Eyewear,Contact Lens Twizzers,Contact Lens Applicator And Tweezers,Contact Lenses For Men,Contact Lenses With Tweezer,Mirror Bottle Tweezers Contact Applicator,Box Container Holder With Tweezers,Kit Mirror Tweezers,,,,,,,,,
Retail,Fashion,Women's Eyewear,Eyewear,Eyeglasses Pouches & Cases,Unisex Hard Shell Protective Case,Case Soft Pouch For Sunglass Eyeglass,Sunglasses Pouch,Leather Glasses Case,Zippered Neoprene Sunglasses Pouch,Eye Glasses Box Holder,Zipper Sunglasses Pouch,Sunglasses Bag,,,,,,,
Retail,Fashion,Women's Eyewear,Eyewear,Microfiber Wipes,Microfiber Wipes For Kitchen Cleaning,Microfiber Wipes For Kitchen,Wipes Microfiber Cloth,Microfiber Multipurpose Wipe,Table Tops And Glass Wipe,Microfiber And Pva Cloth,Sponge Wipe,,,,,,,,
Retail,Fashion,Women's Eyewear,Eyewear,Eyewear Slings,Eyewear Sling Women,Eyewear Sling Men,Eyewear Sling Women,Eyewear Sling Boys,Eyewear Sling,Spectacle Chain,Lanyard String For Eyewear Frames,Chain Evil Eye,Chain Lanyard String For Eyewear Frames,Neck Strap String Chain,Chain For Specs,,,,
Retail,Fashion,Women's Footwear,Footwear,Formal Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Women's Footwear,Footwear,Casual Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Women's Footwear,Footwear,Sports Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Women's Footwear,Footwear,Boots,,,,,,,,,,,,,,,
Retail,Fashion,Women's Footwear,Footwear,Flats,Flats For Women,Flats For Women Stylish Latest,Flats For Girls,Flats For Girls Stylish,Flats For Women Fashion,Diamonte Flats,Combination Flats,Stylish Fancy Flats,Flat Sandal,,,,,,
Retail,Fashion,Women's Footwear,Footwear,Heels,,,,,,,,,,,,,,,
Retail,Fashion,Women's Footwear,Footwear,Outdoor Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Women's Footwear,Footwear,Work & Safety Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Women's Footwear,Footwear,Ethnic Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Anklets,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Bangles & Bracelets,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Brooch,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Chains & Necklaces,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Earrings,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Jewellery Sets,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Mangalsutra,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Nosepins & Noserings,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Pendants,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Religious Jewellery,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Rings,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Toe Rings,,,,,,,,,,,,,,,
Retail,Fashion,Women's Jewellery,Jewellery,Gold Coins,Gold Coins 24K,Gold Coins 5 Gm,Gold Coins 1 Gram,Gold Coins 1Gm,Gold Coins 24K 3Gm,Gold Coins 24K 2Gm,Gold Coins 10 Grams,Gold Bar,King 8 Gm Gold Coin,Queen 8 Gm Gold Coin,,,,,
